,Course,Year,Hrs Per Week,Interest in student learning,Instructor provides feedback to students to improve,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
17602,57-496,2018,8.0,5.0,5.0,4.0,5.0,5.0,5.0
17603,57-497,2010,,3.0,5.0,5.0,4.0,4.0,4.0
17604,57-497,2018,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17605,57-497,2019,5.0,4.0,4.0,4.0,5.0,4.0,3.0
17606,57-499,2010,,4.0,4.0,4.0,4.0,4.0,4.0
17607,57-500,2009,,,,,,5.0,5.0
17608,57-500,2010,,4.9399999999999995,4.775,4.835,4.9399999999999995,4.835,4.835
17609,57-500,2011,,4.8,5.0,5.0,4.6,5.0,5.0
17610,57-500,2012,,5.0,5.0,5.0,4.915,4.915,4.915
17611,57-500,2013,,5.0,4.585,4.67,4.654999999999999,4.75,4.71
17612,57-500,2014,7.5,5.0,4.8,4.73,4.845,4.8,4.775
17613,57-500,2015,8.0,5.0,4.85,4.67,4.8,4.77,4.8
17614,57-500,2016,9.64,5.0,4.91,5.0,5.0,5.0,5.0
17615,57-500,2017,9.71,5.0,5.0,5.0,5.0,5.0,5.0
17616,57-500,2018,9.5,5.0,5.0,5.0,5.0,5.0,5.0
17617,57-500,2019,7.625,5.0,5.0,5.0,5.0,5.0,5.0
17618,57-501,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17619,57-501,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17620,57-501,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17621,57-501,2013,,3.0,3.0,3.0,3.0,3.0,3.0
17622,57-501,2015,20.5,4.5,5.0,5.0,4.5,4.0,4.5
17623,57-501,2016,7.25,4.5,4.25,4.25,4.5,4.25,4.25
17624,57-501,2017,2.0,4.0,4.0,4.0,4.0,4.0,4.0
17625,57-501,2018,22.5,5.0,5.0,5.0,5.0,5.0,5.0
17626,57-501,2019,11.0,5.0,5.0,5.0,5.0,5.0,5.0
17627,57-503,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17628,57-503,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17629,57-503,2014,14.0,5.0,5.0,5.0,5.0,5.0,5.0
17630,57-505,2009,,,,,,5.0,5.0
17631,57-505,2010,,5.0,4.8,4.8,4.7,4.8,4.8
17632,57-505,2011,,5.0,4.71,4.71,4.75,4.71,4.71
17633,57-505,2012,,5.0,4.835,4.835,4.835,4.835,4.835
17634,57-505,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17635,57-505,2014,22.25,5.0,5.0,5.0,4.75,5.0,5.0
17636,57-505,2015,20.375,5.0,5.0,5.0,5.0,5.0,5.0
17637,57-505,2016,16.0,5.0,5.0,5.0,5.0,5.0,5.0
17638,57-505,2017,10.25,4.75,4.75,4.75,4.5,4.75,4.5
17639,57-505,2018,22.5,5.0,5.0,5.0,5.0,5.0,4.5
17640,57-505,2019,24.0,5.0,5.0,5.0,5.0,5.0,5.0
17641,57-506,2010,,3.0,2.5,2.5,3.0,2.5,2.5
17642,57-506,2011,,2.5,2.25,2.0,3.5,2.5,2.5
17643,57-506,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17644,57-506,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17645,57-506,2014,,5.0,4.5,4.5,4.5,4.5,5.0
17646,57-506,2015,14.0,4.5,4.5,4.5,4.5,4.5,4.5
17647,57-506,2016,14.0,5.0,5.0,5.0,5.0,5.0,5.0
17648,57-506,2017,24.0,5.0,5.0,5.0,5.0,5.0,5.0
17649,57-506,2018,20.5,4.5,5.0,5.0,4.5,4.5,4.5
17650,57-507,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17651,57-507,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17652,57-507,2012,,5.0,4.0,5.0,5.0,4.0,4.0
17653,57-507,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17654,57-507,2014,,5.0,5.0,5.0,5.0,5.0,5.0
17655,57-507,2015,14.0,5.0,5.0,5.0,5.0,5.0,5.0
17656,57-507,2016,19.165,5.0,5.0,5.0,5.0,5.0,5.0
17657,57-507,2018,21.0,5.0,,5.0,5.0,5.0,5.0
17658,57-509,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17659,57-509,2012,,4.0,4.0,3.0,5.0,4.0,4.0
17660,57-510,2009,,,,,,5.0,5.0
17661,57-510,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17662,57-510,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17663,57-510,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17664,57-510,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17665,57-510,2014,17.5,4.875,5.0,5.0,5.0,4.875,4.875
17666,57-510,2015,19.75,4.915,5.0,5.0,4.875,4.875,4.875
17667,57-510,2016,20.25,5.0,4.93,5.0,5.0,4.93,5.0
17668,57-510,2017,14.0,5.0,5.0,5.0,5.0,5.0,5.0
17669,57-510,2018,22.5,5.0,5.0,5.0,5.0,5.0,5.0
17670,57-511,2010,,4.5,4.25,5.0,4.25,4.25,4.25
17671,57-511,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17672,57-511,2012,,5.0,5.0,5.0,4.75,5.0,5.0
17673,57-511,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17674,57-511,2014,,5.0,5.0,5.0,4.0,5.0,5.0
17675,57-511,2015,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17676,57-511,2016,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17677,57-512,2009,,,,,,5.0,5.0
17678,57-512,2010,,5.0,5.0,4.5,4.5,4.5,4.5
17679,57-512,2011,,5.0,5.0,4.5,5.0,5.0,5.0
17680,57-512,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17681,57-512,2015,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17682,57-512,2016,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17683,57-512,2017,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17684,57-513,2010,,1.0,1.0,2.0,4.0,2.0,2.0
17685,57-513,2013,,4.5,4.5,4.5,4.5,4.5,4.5
17686,57-513,2014,9.5,4.0,4.5,4.5,4.5,4.5,4.5
17687,57-514,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17688,57-514,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17689,57-514,2014,8.0,4.5,4.75,4.75,4.25,4.75,4.75
17690,57-514,2015,8.5,4.5,4.165,4.335,4.335,4.335,4.5
17691,57-514,2016,6.5,4.0,4.0,4.0,4.0,4.0,4.0
17692,57-514,2017,9.5,4.5,4.5,4.5,4.5,4.5,4.5
17693,57-515,2010,,4.0,5.0,4.0,4.0,4.0,4.0
17694,57-515,2011,,4.0,4.0,4.0,4.0,4.0,4.0
17695,57-515,2014,,5.0,5.0,5.0,5.0,5.0,5.0
17696,57-515,2017,2.0,2.0,5.0,2.0,2.0,4.0,4.0
17697,57-515,2018,22.5,1.5,5.0,5.0,2.0,4.5,4.5
17698,57-516,2009,,,,,,4.5,4.0
17699,57-516,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17700,57-516,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17701,57-516,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17702,57-516,2013,,5.0,4.835,5.0,4.5,5.0,5.0
17703,57-516,2014,15.25,4.0,4.0,4.0,4.0,4.0,4.0
17704,57-516,2015,13.25,4.5,4.5,4.5,4.5,4.5,4.5
17705,57-516,2016,11.0,3.5,3.5,4.0,4.0,3.5,4.0
17706,57-517,2014,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17707,57-517,2015,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17708,57-517,2019,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17709,57-518,2018,9.5,5.0,5.0,5.0,5.0,5.0,5.0
17710,57-518,2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17711,57-519,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17712,57-519,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17713,57-519,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17714,57-519,2014,19.0,5.0,5.0,5.0,5.0,5.0,5.0
17715,57-519,2015,25.5,5.0,5.0,5.0,5.0,5.0,5.0
17716,57-519,2016,21.0,5.0,5.0,5.0,5.0,5.0,5.0
17717,57-519,2017,14.0,5.0,5.0,5.0,5.0,5.0,5.0
17718,57-520,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17719,57-520,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17720,57-520,2012,,5.0,5.0,5.0,4.5,5.0,5.0
17721,57-520,2013,,5.0,5.0,4.75,4.75,5.0,5.0
17722,57-520,2014,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17723,57-520,2015,24.0,5.0,5.0,5.0,5.0,5.0,5.0
17724,57-520,2016,14.0,3.0,3.0,3.0,3.0,3.0,3.0
17725,57-521,2009,,,,,,4.75,4.75
17726,57-521,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17727,57-521,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17728,57-521,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17729,57-521,2013,,5.0,5.0,5.0,5.0,4.5,4.5
17730,57-521,2014,9.5,5.0,5.0,5.0,5.0,5.0,5.0
17731,57-521,2015,11.0,5.0,4.0,5.0,5.0,4.5,4.5
17732,57-521,2016,5.0,5.0,4.5,5.0,5.0,5.0,5.0
17733,57-521,2017,6.5,5.0,5.0,5.0,5.0,5.0,5.0
17734,57-521,2018,7.0,4.915,5.0,5.0,5.0,5.0,5.0
17735,57-521,2019,9.625,4.75,4.75,4.75,5.0,4.75,4.75
17736,57-522,2012,,4.5,5.0,5.0,5.0,5.0,5.0
17737,57-523,2009,,,,,,4.0,4.5
17738,57-523,2010,,4.75,5.0,5.0,5.0,4.75,5.0
17739,57-523,2011,,5.0,5.0,5.0,4.8,5.0,5.0
17740,57-523,2012,,4.75,4.8,4.8,4.8,4.8,4.83
17741,57-523,2013,,4.575,4.915,4.71,4.915,4.585,4.665
17742,57-523,2014,5.25,4.75,4.6899999999999995,4.355,4.6,4.38,4.38
17743,57-523,2015,6.295,4.765000000000001,4.71,4.625,4.665,4.625,4.654999999999999
17744,57-523,2016,6.9399999999999995,4.885,4.675,4.8,5.0,4.605,4.8149999999999995
17745,57-523,2017,7.75,4.93,4.93,4.845000000000001,4.925,4.93,4.93
17746,57-523,2018,5.5,5.0,5.0,5.0,5.0,5.0,5.0
17747,57-523,2019,5.0,5.0,4.835,5.0,5.0,5.0,5.0
17748,57-558,2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17749,57-570,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17750,57-570,2013,,4.0,5.0,5.0,5.0,4.0,4.5
17751,57-570,2014,2.0,5.0,5.0,4.0,4.0,4.0,4.0
17752,57-570,2015,2.0,5.0,3.0,3.0,4.0,4.0,4.0
17753,57-570,2016,2.0,4.835,3.835,3.335,4.835,4.835,3.835
17754,57-570,2017,2.0,4.585,4.585,4.585,4.585,4.585,4.585
17755,57-570,2018,3.0,4.67,4.835,4.75,4.75,4.75,4.67
17756,57-570,2019,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17757,57-572,2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17758,57-591,2017,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17759,57-591,2018,2.75,4.75,4.75,5.0,4.75,4.75,4.75
17760,57-603,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17761,57-604,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17762,57-605,2010,,5.0,4.75,4.75,5.0,5.0,4.88
17763,57-605,2011,,4.83,4.92,4.83,4.75,5.0,4.92
17764,57-605,2012,,4.89,4.89,4.78,4.89,4.89,4.89
17765,57-605,2013,,4.92,4.92,4.92,4.69,4.85,4.77
17766,57-605,2014,5.6,4.8,4.8,5.0,5.0,5.0,5.0
17767,57-605,2015,7.29,3.86,4.14,4.14,4.43,4.0,4.0
17768,57-605,2016,5.0,3.67,4.33,4.67,5.0,4.33,3.67
17769,57-605,2017,6.13,4.88,4.88,5.0,5.0,5.0,4.88
17770,57-605,2018,5.0,4.5,4.5,4.5,4.5,4.5,4.5
17771,57-606,2010,,3.83,3.0,3.83,3.33,3.5,3.0
17772,57-606,2011,,4.4,4.5,4.6,4.6,4.4,4.1
17773,57-606,2012,,4.64,4.73,4.82,4.82,4.73,4.7
17774,57-606,2013,,3.92,4.08,4.08,4.38,4.15,3.83
17775,57-606,2014,6.5,4.25,4.5,4.5,4.5,4.5,4.5
17776,57-606,2015,5.5,4.0,4.17,4.17,4.5,4.17,4.17
17777,57-606,2016,7.38,4.44,4.33,4.22,4.56,4.33,4.0
17778,57-606,2017,6.64,5.0,4.64,4.82,4.91,4.91,4.73
17779,57-606,2018,5.0,4.67,4.67,4.67,4.67,4.67,4.67
17780,57-607,2009,,,,,,5.0,4.5
17781,57-607,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17782,57-607,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17783,57-607,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17784,57-607,2015,4.0,5.0,5.0,5.0,5.0,5.0,4.67
17785,57-608,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17786,57-608,2012,,2.0,2.0,2.0,3.0,3.0,2.0
17787,57-608,2013,,2.0,2.0,3.5,3.5,3.5,4.0
17788,57-608,2014,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17789,57-608,2015,4.25,5.0,4.375,4.375,4.75,4.75,4.25
17790,57-609,2012,,4.5,4.33,4.0,4.67,4.5,4.33
17791,57-609,2013,,4.8,4.7,4.7,4.9,4.9,4.8
17792,57-609,2014,,4.42,4.42,4.5,4.58,4.5,4.33
17793,57-609,2015,6.8,4.0,4.0,4.2,4.4,4.4,4.2
17794,57-609,2016,7.4,4.8,5.0,5.0,5.0,4.8,4.8
17795,57-609,2017,9.0,4.25,4.0,4.5,5.0,4.5,3.75
17796,57-609,2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17797,57-609,2019,2.0,5.0,5.0,5.0,5.0,5.0,4.0
17798,57-611,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17799,57-611,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17800,57-611,2014,5.0,4.0,4.0,4.0,5.0,3.0,4.0
17801,57-612,2009,,,,,,5.0,5.0
17802,57-612,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17803,57-612,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17804,57-612,2015,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17805,57-612,2018,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17806,57-613,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17807,57-613,2013,,5.0,5.0,4.5,5.0,5.0,5.0
17808,57-613,2015,3.5,5.0,4.67,4.5,4.83,4.67,4.5
17809,57-613,2016,3.82,5.0,4.93,4.765000000000001,5.0,5.0,4.915
17810,57-614,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17811,57-614,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17812,57-614,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17813,57-614,2013,,5.0,5.0,5.0,5.0,5.0,4.67
17814,57-614,2014,,4.1,4.1,4.1,4.1,4.1,4.0
17815,57-614,2015,3.0,3.335,3.335,3.335,3.5,3.335,3.17
17816,57-614,2016,3.5,5.0,5.0,5.0,5.0,5.0,5.0
17817,57-614,2017,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17818,57-614,2018,3.375,4.75,4.875,4.625,4.875,4.875,4.625
17819,57-615,2016,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17820,57-615,2017,5.0,4.5,4.5,4.0,5.0,4.5,4.0
17821,57-615,2018,6.5,4.75,4.5,4.5,4.25,4.5,4.5
17822,57-615,2019,3.5,5.0,5.0,5.0,5.0,5.0,5.0
17823,57-616,2015,4.25,5.0,5.0,5.0,5.0,5.0,5.0
17824,57-616,2016,27.0,,,,,,
17825,57-616,2018,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17826,57-617,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17827,57-617,2011,,3.5,4.0,4.5,5.0,4.5,5.0
17828,57-617,2012,,4.9,4.9,4.8,5.0,4.65,4.9
17829,57-617,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17830,57-617,2014,10.33,4.9,4.9,4.9,4.9,4.9,4.9
17831,57-617,2015,7.625,4.75,4.75,4.75,4.875,4.75,4.875
17832,57-617,2016,8.285,5.0,5.0,5.0,5.0,5.0,5.0
17833,57-617,2017,6.5,5.0,5.0,5.0,5.0,5.0,5.0
17834,57-618,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17835,57-618,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17836,57-618,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17837,57-618,2014,6.0,5.0,4.33,5.0,4.33,4.33,4.67
17838,57-618,2015,3.5,4.875,4.75,4.875,4.75,4.625,4.625
17839,57-618,2016,6.5,5.0,4.5,5.0,5.0,5.0,5.0
17840,57-618,2017,6.25,5.0,5.0,5.0,5.0,5.0,4.75
17841,57-618,2018,5.75,5.0,5.0,5.0,5.0,5.0,5.0
17842,57-619,2018,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17843,57-620,2009,,,,,,5.0,5.0
17844,57-620,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17845,57-620,2017,5.0,5.0,5.0,5.0,5.0,5.0,4.0
17846,57-622,2017,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17847,57-622,2018,2.0,3.0,3.0,3.0,3.0,3.0,3.0
17848,57-622,2019,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17849,57-623,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17850,57-623,2018,4.25,5.0,5.0,5.0,5.0,4.75,4.75
17851,57-623,2019,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17852,57-625,2010,,4.5,4.5,4.5,5.0,4.5,4.5
17853,57-625,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17854,57-625,2012,,4.68,4.68,4.68,4.68,4.68,4.68
17855,57-625,2014,,5.0,4.67,4.67,5.0,5.0,5.0
17856,57-625,2016,7.0,5.0,5.0,5.0,5.0,5.0,5.0
17857,57-651,2018,5.0,5.0,5.0,4.67,5.0,5.0,5.0
17858,57-651,2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17859,57-661,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17860,57-661,2014,14.0,5.0,5.0,5.0,5.0,5.0,5.0
17861,57-662,2015,11.0,5.0,5.0,5.0,5.0,5.0,5.0
17862,57-665,2014,,5.0,5.0,5.0,5.0,5.0,5.0
17863,57-665,2015,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17864,57-666,2014,6.5,5.0,5.0,5.0,5.0,5.0,5.0
17865,57-691,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17866,57-691,2013,,5.0,4.0,5.0,4.75,5.0,4.25
17867,57-691,2014,5.0,4.5,4.5,4.5,4.5,4.5,4.5
17868,57-693,2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17869,57-693,2019,6.5,5.0,5.0,5.0,5.0,5.0,5.0
17870,57-697,2014,9.5,5.0,5.0,4.5,5.0,5.0,5.0
17871,57-698,2010,,5.0,5.0,5.0,3.0,3.0,4.0
17872,57-700,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17873,57-700,2013,,4.5,4.25,4.25,4.625,4.625,4.5
17874,57-700,2014,14.0,4.75,4.0,4.0,4.0,4.75,4.5
17875,57-700,2015,8.75,5.0,5.0,5.0,5.0,5.0,5.0
17876,57-700,2016,9.5,5.0,5.0,5.0,5.0,5.0,5.0
17877,57-700,2017,9.5,5.0,5.0,5.0,5.0,5.0,5.0
17878,57-700,2018,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17879,57-700,2019,8.75,5.0,5.0,5.0,5.0,5.0,5.0
17880,57-701,2010,,4.875,4.875,4.875,5.0,4.875,4.875
17881,57-701,2011,,5.0,5.0,5.0,4.67,5.0,5.0
17882,57-701,2012,,5.0,4.75,5.0,5.0,5.0,5.0
17883,57-701,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17884,57-701,2014,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17885,57-701,2015,20.835,5.0,5.0,4.835,5.0,5.0,5.0
17886,57-701,2016,27.0,5.0,5.0,5.0,4.75,5.0,5.0
17887,57-701,2017,23.0,5.0,5.0,5.0,5.0,5.0,5.0
17888,57-701,2018,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17889,57-703,2016,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17890,57-703,2019,24.0,5.0,5.0,5.0,5.0,5.0,5.0
17891,57-705,2009,,,,,,4.875,4.875
17892,57-705,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17893,57-705,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17894,57-705,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17895,57-705,2013,,5.0,5.0,4.75,4.75,5.0,5.0
17896,57-705,2014,27.0,5.0,5.0,5.0,4.75,5.0,5.0
17897,57-705,2015,23.25,5.0,5.0,5.0,4.5,5.0,5.0
17898,57-705,2016,18.67,4.67,4.67,4.67,4.67,4.67,4.67
17899,57-705,2017,19.67,4.5,4.0,4.33,5.0,4.67,4.67
17900,57-705,2018,20.75,5.0,4.75,4.75,4.75,4.75,4.75
17901,57-706,2010,,3.0,2.0,2.0,3.0,2.0,2.0
17902,57-706,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17903,57-706,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17904,57-706,2014,22.67,5.0,5.0,5.0,5.0,5.0,5.0
17905,57-706,2015,11.5,5.0,4.5,5.0,5.0,5.0,5.0
17906,57-706,2016,25.5,5.0,5.0,5.0,5.0,5.0,5.0
17907,57-706,2017,14.0,5.0,5.0,5.0,5.0,5.0,5.0
17908,57-706,2018,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17909,57-706,2019,14.0,4.0,5.0,5.0,4.0,4.0,4.0
17910,57-707,2009,,,,,,5.0,5.0
17911,57-707,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17912,57-707,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17913,57-707,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17914,57-707,2013,,4.75,4.75,4.75,4.5,4.75,4.75
17915,57-707,2014,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17916,57-707,2015,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17917,57-707,2018,2.0,4.0,5.0,4.0,5.0,5.0,4.0
17918,57-708,2011,,4.0,4.0,4.0,4.0,4.0,4.0
17919,57-708,2012,,4.5,4.5,4.0,4.0,4.5,4.5
17920,57-708,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17921,57-708,2015,13.33,5.0,5.0,5.0,5.0,5.0,5.0
17922,57-708,2016,15.0,5.0,5.0,5.0,5.0,5.0,5.0
17923,57-708,2017,14.5,5.0,5.0,5.0,5.0,5.0,5.0
17924,57-709,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17925,57-709,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17926,57-709,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17927,57-710,2009,,,,,,5.0,5.0
17928,57-710,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17929,57-710,2011,,4.67,4.67,4.67,4.67,4.67,5.0
17930,57-710,2012,,4.75,4.67,4.75,4.75,4.75,4.75
17931,57-710,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17932,57-710,2014,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17933,57-710,2015,21.585,5.0,5.0,5.0,5.0,5.0,5.0
17934,57-710,2016,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17935,57-710,2017,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17936,57-710,2018,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17937,57-711,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17938,57-711,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17939,57-711,2014,11.0,5.0,5.0,5.0,5.0,5.0,5.0
17940,57-711,2016,17.0,5.0,5.0,5.0,5.0,5.0,5.0
17941,57-711,2017,27.0,4.5,4.5,4.5,3.0,4.5,4.0
17942,57-711,2018,14.0,4.0,4.0,3.0,1.0,3.0,3.0
17943,57-712,2010,,5.0,4.835,5.0,4.835,4.835,5.0
17944,57-712,2011,,4.75,5.0,4.5,5.0,4.5,5.0
17945,57-712,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17946,57-712,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17947,57-712,2014,17.5,5.0,4.5,4.5,5.0,4.5,5.0
17948,57-712,2015,14.5,4.75,4.25,4.5,4.5,4.5,4.25
17949,57-712,2016,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17950,57-712,2017,21.0,5.0,4.0,5.0,5.0,5.0,5.0
17951,57-712,2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17952,57-713,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17953,57-713,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17954,57-713,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17955,57-713,2014,5.0,3.0,4.0,4.0,3.0,4.0,3.0
17956,57-713,2017,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17957,57-713,2018,18.085,5.0,5.0,5.0,5.0,5.0,5.0
17958,57-713,2019,12.5,5.0,5.0,5.0,5.0,5.0,5.0
17959,57-715,2010,,4.5,4.5,4.5,5.0,4.5,4.75
17960,57-715,2011,,4.75,5.0,4.75,5.0,4.75,4.75
17961,57-715,2012,,4.75,4.75,4.75,5.0,4.75,4.75
17962,57-715,2013,,4.0,4.0,3.75,4.5,4.0,4.25
17963,57-715,2014,14.0,4.165,4.335,4.585,4.25,4.5,4.5
17964,57-715,2015,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17965,57-716,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17966,57-716,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17967,57-716,2013,,5.0,5.0,5.0,4.0,5.0,4.5
17968,57-716,2014,,5.0,5.0,5.0,5.0,5.0,5.0
17969,57-716,2016,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17970,57-716,2017,24.0,5.0,5.0,5.0,5.0,5.0,5.0
17971,57-716,2018,26.25,5.0,5.0,5.0,5.0,5.0,5.0
17972,57-716,2019,17.0,5.0,5.0,5.0,5.0,5.0,5.0
17973,57-717,2010,,5.0,5.0,5.0,5.0,5.0,5.0
17974,57-717,2011,,5.0,5.0,5.0,5.0,5.0,5.0
17975,57-717,2012,,5.0,5.0,5.0,5.0,5.0,5.0
17976,57-717,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17977,57-717,2014,2.0,5.0,5.0,5.0,5.0,5.0,5.0
17978,57-717,2015,5.0,5.0,5.0,5.0,5.0,5.0,5.0
17979,57-717,2016,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17980,57-717,2018,27.0,5.0,5.0,5.0,5.0,5.0,5.0
17981,57-718,2017,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17982,57-719,2013,,5.0,5.0,5.0,5.0,5.0,5.0
17983,57-719,2014,8.0,5.0,5.0,5.0,5.0,5.0,5.0
17984,57-719,2015,17.0,5.0,5.0,5.0,5.0,5.0,5.0
17985,57-719,2016,,5.0,5.0,5.0,5.0,5.0,5.0
