,desc,prereqs,coreqs,name,units,department,profs,School Level,Course
1254,http://www.heinz.cmu.edu/current-students/index.aspx,None,None,Apprenticeship,,Heinz College Wide Courses,"Jordan, James",Graduate,94-899
1255,"Organized as a combination of lectures and seminar discussions, this course explores the political, intellectual, social, and cultural changes occurring in 19th century and 20th century Central and Eastern Europe. It begins with an examination of the emergence of nationalist movements during the 19th century, to then explore the darker side of romantic nationalisms as they unfolded into the radical political ideologies such as socialism and fascism of the interwar period. We will ask to what extent these earlier histories continued to subtly influence post-1945 Central and Eastern Europe under socialism. The second part of the course will focus on the social and political transformations occurring at distinct moments in the history of the Soviet bloc: the 1950s Stalinization, the 1960s De-Stalinization, the emergence of the more subtle forms of dissent in the late 1970s and the early 1980s, and the revolutions of 1989.  Course materials include not only historical and anthropological readings, but also historical documents, memoirs, and documentaries. The assignments include: mandatory attendance of lectures, regular participation in the class discussions, weekly diary entries and two take-home exams (midterm and final). The diary entries aim to make you better understand the mentalities and social and political changes at an individual level, by vicariously experience the events through your historical character. At the beginning of the semester, you will be assigned two specific characters that you will impersonate throughout the semester (one at the time), bringing in material from lectures and readings to bear on your characters own experiences.",None,None,Social and Political Change in 20th Century Central and Eastern Europe,9.0,History,"Grama, Emanuela",Sophomore,79-203
1256,"Railroads in the USA are often considered as a subject for nostalgia or public sector failure, an image largely based on passenger service. However, the USAs private sector freight rail industry is considered a model for the world as the result of its renaissance following deregulation in 1980. This is a stealth industry whose history and economics are both intertwined and complex.   Starting with the development of the first U. S. railroads, students will gain a basic understanding of the industrys history and economics, with special attention to the past half-century. In addition, students will participate in small group research projects in particular areas of special interest -- for example, economic history, industry culture, network economics, utility regulation or transportation policy.",None,None,The American Railroad: Decline and Renaissance in the Age of Deregulation,6.0,History,"Posner, Henry",Sophomore,79-213
1257,"How do historians determine how and why episodes in the past transpired? This course takes students behind the scenes and acquaints them with the techniques by which historians practice their craft in interpreting historical events. Using dramatic case studies in American history, we will examine a wide array of tools and sources at the historians disposal, among them oral evidence, photographs and images, maps, official documents, memoirs, psycho-history, media and popular culture. Through in-class workshops and solo and group assignments, students will experiment with different methods of historical analysis using a variety of source material. Students will develop a familiarity with the historians toolbox and a new-found appreciation for the painstaking efforts that go into producing the history books they may otherwise take for granted.",None,None,The Art of Historical Detection,6.0,History,"Eisenberg, Laurie",Sophomore,79-209
1258,"This course provides a survey of Mexican history and culture over a variety of periods, from the rise of the Aztec empire, to Spanish conquest and colonization, to national independence, to the Mexican Revolution and contemporary Mexico.  A wide range of topics will be addressed, such as: race, ethnicity, and indigeneity; state formation and politics; national identity and the politics of memory; migration and the border; and the drug war.  Students will discuss historical and anthropological scholarship on Mexico, but will also consider cultural documents of various kinds, like Mexican music, art, and food.",None,None,Mexico: From the Aztec Empire to the Drug War,9.0,History,"JACOBSON, AARON MICHAEL P",Sophomore,79-223
1259,"Thirty years ago, on June 4, 1989, the world watched as tanks rolled into Beijings Tiananmen Square ending what had been six weeks of student-led protest calling for reform of the Chinese Communist Party and its policies. This was not the first time students had gathered at Tiananmen to demand political change. This year also marks the centennial anniversary of the student-led protests that launched the May 4th Movement, a social and intellectual revolution that fundamentally changed China and helped birth both the Nationalist Party of Chiang Kaishek and Communist Party of Mao Zedong. This class examines the causes and consequences of popular protest in twentieth-century China. While the focus is on the protests of 1919 and 1989, we will also look at other popular protests, including the Cultural Revolution (1966-1969), Democracy Wall Movement (1979), and post-Tiananmen protests among workers, farmers, ethnic minorities (especially Tibetans and Uyghurs), and others.",None,None,Tiananmen Square and Popular Protest in Modern China,6.0,History,"Weiner, Benno",Sophomore,79-218
1260,"This course will examines the pervasive, world-spanning institution of human slavery. Although the time frame this course deals with is  broad -  from the rise of complex societies in the ancient world to slavery-like labor systems in the modern era - this class will focus more thoroughly on a few case studies, especially slavery in the Middle East and sub-Saharan Africa, the US, and the Caribbean. These disparate examples will be related to a number of core themes, including race, class, family, gender, religion, national identity and underdevelopment.  This course will be co-taught on CMUs Pittsburgh and Qatar campuses.",None,None,Comparative Slavery,9.0,History,"Fields-Black, Edda",Sophomore,79-237
1261,"This course will examine the cultures and societies of the Caribbean focusing on their colonial past, their current positioning in the world, their social structure, cultural patterns and current transnationalism. Using social history, film and music we will explore the topics of race, class, family, gender, religion, national identity and underdevelopment. Comparative research projects will provide concrete instances of the differences and similarities between the Anglo-Caribbean, Franco-Caribbean, and Hispanic Caribbean. This course is open to all students.",None,None,Caribbean Cultures,9.0,History,"Alfonso-Wells, Shawn",Sophomore,79-235
1262,"This course explores changes in the African American experience from the end of the Civil War to the emerging era of Donald Trump.  The course emphasizes transformations in both inter- and intra-race relations; economic mobility as well as economic inequality; and forms of political engagement and grassroots movements for social change. In Part I, the course opens with an examination of the notion of a Post-Racial Society in the United States. This idea emerged in the wake of the Modern Black Freedom Movement and persists to this day as the 21st century unfolds. Part II locates the roots of 20th century black life and history in the emancipation of enslaved people in the years after the Civil War. This segment of the course will not only give close attention to the meaning of emancipation and freedom for black people, but also charts the rise of a new Jim Crow social order by World War I. Third and most important, this course will illuminate the transformation of African American culture, politics, and community under the impact of the 20th century Great Migration; the rise of the urban-industrial working class; increasing residential segregation; growth and expansion of the middle class; and the fluorescence of the Modern Black Liberation Movement. Students will compare the dynamics of the contemporary Black Lives Matter Movement with earlier 20th century grassroots social and political movements in African American and U.S. history. Finally, based upon a mix of primary and secondary sources and lectures, students will examine a wide range of intellectual debates in African American history; write a series of short analytical essays; and establish their own unique interpretation of key issues in Black History.",None,None,African American History: Reconstruction to the Present,9.0,History,"Trotter, Joe",Sophomore,79-242
1263,"[Note: students who have already taken this course under its former title, 79-249,  20th Century U.S. History may not enroll.]  The twentieth century marked the rise of the United States as a global power. By the end of the century, the United States had achieved economic, military, and political dominance. The United States also made great strides in expanding political and civil rights for workers, women, African Americans, and gays and lesbians. This course explores the social and cultural implications of these developments on the generations of American people who came of age in the twentieth century. It assesses both the triumphs and tribulations of twentieth-century life. We will analyze continuities, contradictions, and conflicts in American history, especially in regard to the nations dueling political ideologies: conservatism and liberalism. Special attention will be paid to the relationship between movements for social change and the maintenance of law and order. Topics include: the Progressive Era, World War I, the Great Depression, World War II, the Cold War, Civil Rights, Vietnam, and the New Conservatism.",None,None,20th & 21st Century U.S. History,9.0,History,"JACOBSON, AARON MICHAEL P",Sophomore,79-249
1264,"This course covers a broad sweep of Russian history beginning with the first settlements of tribal nomads in the ninth century and ending with the fall of the 300-year-old Romanov dynasty in 1917. Our course profiles how the Russian state was formed and how its territory expanded to become a mighty empire. Over the centuries, we make the acquaintance of Mongol marauders, greedy princes, and peasant rebels, as well as Ivan the Terrible, Peter the Great, and the long succession of reformers and reactionaries who occupied the Russian throne. We explore terrorism, general strikes, and development of the revolutionary movement that ultimately brought down the Tsar in 1917.",None,None,Russian History: From the First to the Last Tsar,9.0,History,"Storella, Carmine",Sophomore,79-265
1265,"We live in an increasingly interconnected world, one in which our everyday actions have repercussions across vast distances. To understand this ever-denser web of connections, we must think beyond simplistic accounts of globalization as a uniformly positive, negative, or homogenizing process. Economic crisis, impoverishment, rising inequality, environmental degradation, pandemic disease, and irredentist movements are just as much a part of the story as are technological innovation, digital communication, global supply chains, cultural exchange, the promotion of human rights, and the rise of cosmopolitan values. This course aims to equip you with a conceptual toolkit for thinking critically and holistically about the many dimensions of globalization. By examining how globalization connects and shapes the everyday lives of people around the world, including our own, we will establish a foundation both for your advanced coursework in Global Studies and for your lifelong education as a globally aware professional and citizen.",None,None,Introduction to Global Studies,9.0,History,"Theriault, Noah",Sophomore,79-275
1266,"Who was Adolf Hitler?  What motivated him?  What did he believe?  Why did Germans support him?  How did he rise to power? How did he use his power?  This course covers the biography of Hitler, placing his life in the political and economic context of his era. Through a combination of lectures and discussion, the class will consider: Hitler and his political movement, Hitler and his people, Hitler and his enemies, Hitler and his war, Hitler and his crimes, Hitler and his place in history. We will discuss his upbringing, personality, and strengths and weaknesses as a political leader and military strategist. We will study his worldview, including his ethno-nationalism, antisemitism, and anti-Communism.  We will examine his role in the origins and implementation of the Holocaust. Readings will include works by historians, excerpts from Mein Kampf, and the writings of his fellow Nazis and other contemporaries. The class will also analyze the portrayal of Hitler in documentary and feature films.  Students will write three papers: two papers of 5-6 pages each, based on in-class readings/films, and a final research paper of 12 pages, based on six outside readings.",None,None,Adolf Hitler,9.0,History,"Harsch, Donna",Sophomore,79-260
1267,"This course is an introduction to late-imperial Chinese history and society with a focus on the Qing dynasty (1644-1912). We begin by examining the Qing not just as the last of Chinas imperial dynasties but also as an early-modern, multi-ethnic empire that included Mongolia, Tibet, and Xinjiang. In fact, Chinas last emperors were actually Manchus from northeast Asia. Secondly we investigate the social, economic, intellectual and demographic developments that transformed late-imperial China prior to the coming of the West. Thirdly, we examine Qing responses to a string of nineteenth-century disruptions, including but not limited to western imperialism, that threatened to not only end the dynasty but also challenged the very tenants of Chinese civilization. Lastly, we will look at the fall of Chinas imperial system, the end of empire, and the post-imperial struggle to reformulate the state and re-imagine society for the twentieth century.",None,None,"The Last Emperors: Chinese History and Society, 1600-1900",9.0,History,"Weiner, Benno",Sophomore,79-261
1268,"In this course we will consider the historical emergence and transformation of the U.S.-Mexico border, as much as an idea as a physical boundary.  Our explorations will be far-ranging: from the initial encounters of Christopher Columbus and Hernn Corts with indigenous populations, to social, cultural and political dynamics of the borderlands in subsequent centuries; from the experiences and practices of cross border migrants, to contemporary immigration debates and policies surrounding migration, border control and walling, and the deportation of unauthorized migrants.",None,None,Beyond the Border,6.0,History,"Eiss, Paul",Sophomore,79-276
1269,"This course will examine the history of anti-Jewish hatred and violence from the Middle Ages through the Holocaust.  The course will focus on representative case studies, texts, and films. These will include pre-modern incidents of fake news such as the medieval rumor of blood libel that unleashed massacres and mass expulsions of Jews from countless communities. In examining the rise of modern anti-Semitism we shall focus on debates over Jewish assimilation and citizenship and consider the popular impact of the print medias dissemination of conspiracy theories of Jewish world domination, including the infamous forgery The Protocols of the Elders of Zion.  We will also examine cases of mass anti-Jewish violence, known as pogroms, in Eastern Europe and Russia, and the genocidal onslaught against European Jewry by the National Socialist regime.  Finally, we will discuss the resurgence of anti-Semitism in contemporary Europe.",None,None,Anti-Judaism & Anti-Semitism in Europe: From the Middle Ages to the Holocaust,6.0,History,"Friedman, Michal",Sophomore,79-270
1270,"This course will explore the genealogy of the term ghetto. For most Americans, ghetto probably makes them think of poor urban neighborhoods, or of Jews living under Nazi oppression. Most do not know that the first ghetto was established 500 years ago, to keep Jews separate from Catholics. After quickly reviewing how ghettos spread throughout early modern Europe, the course will shift its focus to the Americas. We will examine when and how the term ghetto arrived in the United States, and how the use and application of the term changed before the 1930s. For the majority of the course we will study how ghetto became associated with black urban neighborhoods, and what role local, state, and federal governments played in forming postwar American ghettos. By the end of the course students should better understand the origins of current urban policy and will be prepared to critique and make arguments about how urban policy is often used as a political tool.",None,None,"From Venice to Chicago: How ""The Ghetto"" Came to America",6.0,History,"Oren, Avigail",Sophomore,79-277
1271,"This course is offered only at Carnegie Mellons campus in Qatar.  As is well known, America has become a land of great religious diversity, and Islam in particular. Appreciating this issue helps appreciate the dynamism of the US and the religion of Islam. To a degree, however, this is both an old and new phenomenon. The course will explore the many facets of Islamic history and life, the process of its growth as well as the challenges and issues that American Muslims of different colours and backgrounds face in a vibrant plural democratic  society.",None,None,Islam in the United States,9.0,History,"Kaba, Lansine",Sophomore,79-285
1272,"Archaeology of Technology is a new course that surveys the archaeology of invention and the immaterial. We live in an increasingly immaterial world, in which many of the artifacts we value are digital, and our relationships are built beyond the confines of face-to-face interactions. This course will explore the relationship between people and the artifacts they create by addressing one big question of equal concern to innovators, archaeologists, and historians alike: Why and how do some inventions spread like wildfire and dramatically transform society?",None,None,Archaeology of Technology,6.0,History,"Herckis, Lauren",Sophomore,79-295
1273,"[Note: students who have taken the mini course, 79-280, Brewing Revolution? Coffee and Social Change from Adam Smith to Starbucks, may not enroll.]  What role has coffee played in connecting people and places to capitalist markets and consumer cultures? What are the economic, social, and environmental consequences of these connections?  How did espresso change from an ethnic drink to something served at McDonalds?  Why do college students (and professors) hang out in coffee shops?   This course will answer these questions and more by using coffee to learn about the history of capitalism, and capitalism to understand the history of coffee.  We will follow the spread of coffee and capitalism across the globe, with excursions to places where people grow coffee (Ethiopia, Yemen, Indonesia, Brazil, and Costa Rica), and also where they drink coffee (Seattle, Tokyo, Seoul, New York, and Berlin).  In the process, we will confront global problems linked to economic inequality, trade, gender relations, and environmental degradation. Course meetings will combine interactive lecture, group discussions, and mini-presentations.  Assignments will include journal responses, ethnographic observations, and writing a short script that tells a story about coffee and capitalism.",None,None,Coffee and Capitalism,9.0,History,"Soluri, John",Sophomore,79-280
1274,"This course is ONLY offered at Carnegie Mellon in Qatar. Inward Odyssey will explore world history by examining it through the outward-looking eyes of travel writers, on the assumption that travelogues, though supposedly written about the other, in fact provide crucial insights about the mindset of the culture that produced them, and often serve as a vehicle for cultural self-exploration or even self-criticism. In terms of content, this course is intended to overlap with World History, Islam and the European World, and US-Arab Encounters. However, this course is intended to be a skills course, designed not to teach students about specific historical periods, but rather to give students the tools they need to conduct their own critical explorations into the historical past.",None,None,Inward Odyssey,9.0,History,"Reilly, Benjamin",Sophomore,79-293
1275,"This course explores black film emphasizing the historical and contemporary impact of resistance from enslavement to the present. Resistance was expressed by blacks through passive resistance, violence, striving to be middle-class, and even reinventing black stereotypes. Some eras in which these ideas were expressed included enslavement, the American Revolution, World Wars I and II, Civil Rights, and the Age of Obama. Within these periods, there were major social and political transformative movements including slave revolts, the anti-slavery movement, black womens rights, Black Power, and Black Lives Matter.  The films will include The Hate You Give, Oscar Micheauxs Within Our Gates, Sankofa, 12 Years a Slave, Glory, Shaft, and Imitation  of Life. Class structure will be based in part on the following questions:  *	What is the significance and meaning of the history of resistance in black film?  *	How can we use the tools for studying history to better understand resistance in black film?  *	How do we analyze this history?  *	How can we contextualize contemporary issue and popular culture through the history of black film?",None,None,Modern African American Film: History and Resistance,6.0,History,"Glave, Dianne",Sophomore,79-238
1276,"Religion can be understood from the outside, through the academic lenses of history, sociology, psychology, philosophy, etc., and from the inside, listening to the experiences and reflections of those who practice various faiths. The course will examine major religious traditions from several perspectives, and begin to explore such topics as the relationship between religion and science, faith and reason, and religion in public life. This introduction is designed for students with a general interest in religion, as well as those contemplating a Religious Studies minor.",None,None,Introduction to Religion,9.0,History,"Gilchrist, James",Sophomore,79-281
1277,"The Slave Passage begins among flourishing, technologically advanced, and globally connected regions of Western Africa before the advent of the trans-Atlantic slave trade. It tells the painful story of African captives during the Middle Passage, piecing together the historical record to recognize their suffering aboard the slaving vessels and their multiple strategies of resistance. Students will study slave narratives,  slave ship logs, and autobiographies of former enslaved people, as well as analyze films and theater performances depicting the Middle Passage and New World enslavement.",None,None,The Slave Passage: From West Africa to the Americas,6.0,History,"Fields-Black, Edda",Sophomore,79-290
1278,"[Note: students who have already taken this course under its former title 79-302, Drone Warfare and Killer Robots: Ethics, Law, Politics, and Strategy, may not enroll.]   Unmanned aerial vehicles (drones) have become a central feature of the United States global counterterrorism strategy since September 11, 2001, and autonomous weapons systems (often called killer robots by critics) are increasingly being integrated into military arsenals around the world. According to proponents, drones and autonomous weapons systems are much safer than manned systems, so accurate that they can be used to target individuals and detect threats in real time, and efficient and inexpensive enough to be used for long-term surveillance and protection missions around the globe. According to critics, the use of such systems is problematic because of the obfuscation of historically accepted chains of accountability and responsibility, and the difficulty of translating complex ethical decision making processes into computer code. This course will evaluate these issues through the lenses of law, politics, morality, history, and military strategy.",None,None,"Killer Robots:The Ethics, Law, and Politics of Lethal Autonomous Weapons Systems",6.0,History,"Aronson, Jay",Junior,79-302
1279,"This course looks at the historic relationship among Islam, Judaism and Christianity and what they have to say about the nature of government, the states treatment of religious minorities, and relations among states in the Middle East. We will consider the impact of religion on domestic and foreign policy in selected Middle Eastern countries and communities, the role of religion in fueling conflicts, the phenomenon of religious fundamentalism, the challenge and opportunity this presents to the United States, and the potential for religion to help advance Middle East peace. We will take advantage of the unprecedented upheavals roiling the Middle East since 2011 and use contemporary social media to contact people on the ground in the states we are studying to produce updates as to where religion and politics seem to be intersecting at this time.",None,None,Religion and Politics in the Middle East,9.0,History,"Eisenberg, Laurie",Junior,79-307
1280,"This course examines the history of womens rights agitation in the United States from the early nineteenth-century to the present.  It investigates both well-known struggles for womens equality--including the battles for womens voting rights, an Equal Rights Amendment, and access to birth control--and also explores the history of lesser-known struggles for economic and racial justice.  Because women often differed about what the most important issues facing their sex were, this course explores not only the issues that have united women, but also those that have divided themkeeping intersectionality and womens diversity at the center of the course.",None,None,"Women, Politics, and Protest",9.0,History,"Tetrault, Lisa",Junior,79-320
1281,"Bollywood films attract hundreds of millions of viewers, not just in India but throughout the world. The name Bollywood makes it seem that the Indian film industry is a junior partner, merely an echo of Hollywood. But more films are made in Mumbai every year than in Los Angeles. And Mumbai is only one of many film hubs in India. The rich diversity of Indian cinema speaks to the equally rich history of India itself. This course uses Indian movies to examine several key themes in Indias history. We will focus on the twentieth century and on questions of democracy, diversity, and development. This course includes a mandatory film screening on Wednesday evenings beginning at 6:30pm.",None,None,India Through Film,6.0,History,"Slate, Nico",Junior,79-319
1282,"From conducting clinical trials and evaluating prisoners parole cases to drafting professional ballplayers, we increasingly make decisions using mathematical concepts and models. This course surveys the development of--and resistance to--such tools by grounding them in the recent cultural history of the United States. Focusing on baseball, medicine, and the law, well explore how and why Americans have come to believe mathematical and computational methods can solve complicated problems, even in seemingly unrelated moral, political, and social domains. The course encourages students to think critically about the wider implications of these transformations by situating their development historically.",None,None,Moneyball Nation: Data in American Life,9.0,History,"Phillips, Christopher",Junior,79-305
1283,"This course is about open source, collaborative innovation and the impact of social and technological change on American music. We will spend the first 8 weeks on early remix music (slave songs, Anglo-Appalachian ballads, ragtime, and Depression era blues and country). After studying Bessie Smith, Woody Guthrie, Lead Belly, Hank Williams, and other early artists, well spend the last 7 weeks on revolutionaries like Chuck Berry, Bob Dylan, Jimi Hendrix, and Janis Joplin. The format is informal lecture and discussion. Assignments include reading two books plus some articles, weekly music listening, short papers, and a final project. NB: This course may be taken pass-fail (with submission of appropriate form).",None,None,Roots of Rock & Roll,9.0,History,"Sandage, Scott",Junior,79-345
1284,"This course will challenge you to explore profoundly disturbing historical material.  We will examine aspects of history on both sides of the Atlantic with regard to Hitler, the Nazis and Americas response in the 1930s and 1940s.  This course will compel you to think not only about what happened and why, but also about the implications for us today as individuals and as Americans. Films, a meeting with a survivor or child of survivor as well as the inclusion of survivor accounts in the readings will serve to strengthen the learning impact.",None,None,United States and the Holocaust,6.0,History,"Burstin, Barbara",Junior,79-349
1285,"Invented in 1839, photography was a form of visual expression that immediately attracted a large public following. Starting around 1900, photography was practiced with two dominant strands. One of these firmly believed in the power of photographs to provide a window on the world, and was led by Lewis Hine, whose documentary photographs for the National Child Labor Committee helped to ameliorate living and working conditions for thousands of immigrant children. The other strand adhered to the philosophy of Alfred Stieglitz who adamantly affirmed that photographs were first and foremost reflections of the soul and were art objects, equal to painting, drawing and sculpture. These two schools of thought guided photographers throughout the twentieth century. This course explores in depth the tremendous range of photographic expression since World War II and examines in particular the contributions of significant image-makers such as Helen Levitt, W. Eugene Smith, Robert Frank, Diane Arbus, Garry Winogrand, Charles Teenie Harris, Cindy Sherman, Carrie Mae Weems, Nan Goldin, James Nachtwey, and many others. Classes include a slide lecture, student presentation, and video segments that introduce a focused selection of images by major photographers in an attempt to understand their intentions, styles, and influences. As available, students will be expected to make one or more visits to photography exhibitions on view in Pittsburgh (locations to be announced at the first class.)",None,None,Photographers and Photography Since World War II,9.0,History,"Oresick, David",Junior,79-328
1286,"A few years ago, the word impeachment drew talk of President Bill Clinton, White House interns, and definitions of the word, is. Since President Donald Trumps inauguration in early 2017, the prospect of impeachment charges has become a regular media concern.   In this course, we will examine the basis for the option of impeachment - the Constitutional power of the legislature to remove the President or other federal officials from office for treason, bribery, or other high crimes and misdemeanors. While Presidents may be the most high-profile subjects of impeachment, we will also examine the other 17 federal officers that have been impeached in the past, as well as a number of state officials who have been impeached, including Louisiana Governor Huey Long in 1929 and Illinois Governor Rod Blagojevich in 2009.",None,None,"""High Crimes and Misdemeanors"": The Constitution and Impeachment",6.0,History,"Coopie, Kristen",Junior,79-329
1287,"How have American films portrayed juvenile delinquency and the juvenile justice system? What does filmmakers portrayal of juvenile delinquency tell us about American culture and society? Do films vividly capture or badly distort the realities of crime and the operations of the justice system? This course uses feature films (to be viewed in advance of class) from the 1920s to the early 1960s, as well as various sociological, psychological, and historical readings, to explore these issues. The course is run as a colloquium, with students playing central leadership roles in launching and guiding class discussions. The course will have a take-home midterm exam (essay), a final exam (essay), and a few short, written assignments linked to students required oral presentations in class.",None,None,Juvenile Delinquency & Film: From Soul of Youth (1920) to West Side Story (1961),6.0,History,"Schlossman, Steven",Junior,79-339
1288,"How do we, as human beings, experience the urban environment? We explore the underlying psychological and neural basis of our perceptions as they create the experience of historical change.",None,None,Neuroscience and the City,9.0,History,"Tarr, Joel",Junior,79-356
1289,"This course examines the history of childrens experiences in American K-12 schools, both public and private, at three critical moments in the 20th and early 21st centuries. We will first examine the emergence of Progressivism as a perceived antidote to the impacts of industrialization, urbanization, and the immigrant experience on children and youth in the early 1900s. We will then study the retreat from Progressive educational ideas in the wake of the Cold War and Space Race with the Soviet Union in the decades following World War II. Finally, we will analyze the impacts on American schoolchildren of the Excellence and No Child Left Behind movements that began around the turn of the 21st century and and continue today. To ground class discussions, we will use both secondary and primary historical sources, including policy and curricular documents, documentary film, and first-person accounts of both children and teachers in schools.",None,None,Kids and Schools in the 20th Century,6.0,History,"Suzik, Jeffrey",Junior,79-354
1290,"For many commentators, the election of Donald Trump in November 2016 marks the beginning of the post-truth era, in which reality is no longer knowable, or even relevant. While this narrative certainly captures the unease that many Americans feel, it is historically inaccurate. There never was a time in the past when we could readily discern truth from falsehood without difficulty.   The goal of this course is to examine the social history of truth. We will explore the concept of truth in philosophy and science; the evolution of methods for discovering facts about the world; the centrality of trust in knowledge production; and the innumerable ways that facts have been questioned, manipulated, discredited, purposefully ignored, and fabricated over the past several centuries. The course will include case studies from science, law, politics, war, art, journalism, and history.",None,None,"Truth, Lies, and Propaganda: A Historical Inquiry",9.0,History,"Aronson, Jay",Junior,79-359
1291,"In this course we will investigate the historical roles played by people in creating the conditions for disastrous floods and hurricanes in the United States, examining the material causes of  natural disasters and analyzing how Americans have been affected differently according to race and class.  By the end of the course, we will have examined some of Americas largest flood and hurricane disasters in their historical contexts, and we will use this knowledge to think about disasters that Americans face now and in the future.",None,None,Disasters in American History: Floods and Hurricanes,6.0,History,"Keller, Vagel",Junior,79-369
1292,"Earth is an increasingly toxic planet.  Fossil-fueled industrialization, chemical engineering, and resource-intensive consumerism have generated immense wealth, but they have also left long-term, cumulative legacies of toxic pollution and ecological harm.  While these legacies affect everyone, their impacts are by no means evenly distributed.  In this course, we will use the tools of anthropology, political ecology, and history to examine experiences of toxic exposure in different parts of the world, including Pittsburgh.  Our analyses will ask how inequalities of race, class, and gender shape exposure as well as how cultural differences create divergent understandings of ecology, health, and their interrelationship.  We will consider, moreover, how these disparities shape what people know about pollution and whether/how they demand accountability for it.  Cases we explore will range from acute industrial disasters (and their aftermath) to the harms experienced by other-than-human beings to the gradual, often invisible exposures that affect all of us to varying degrees.",None,None,Hostile Environments: The Politics of Pollution in Global Perspective,9.0,History,"Theriault, Noah",Junior,79-380
1293,Francisco Franco was Europes longest-ruling dictator. He ruled over Spain from 1939 to 1975. This course will examine the social and cultural context of the rise of Fascism in Spain. We will focus especially on Francos seizure of power during the Spanish Civil War; the decades of his lengthy dictatorship; the social and cultural politics in transitioning Spain to democracy after his death; and the legacy of Spanish Fascism and Francos dictatorship in contemporary Spain.,None,None,General Francisco Franco: Fascism and its Legacies in Spain,6.0,History,"Friedman, Michal",Junior,79-387
1294,"For studying the past, space can be as important as time. Digital mapping and GeoLocation technologies influence our everyday interactions and perceptions of the world around us. Historians are thinking about how these technologies can change their fields of study, too.  Through the spatial turn in the Humanities and Social Sciences, historians are using spatial experience to think more deeply about the meaning of place and space. Visualizing spatial relationships via new technologies can offer meaningful new ways to approach historical questions. This course will consider viewpoints from the discipline of Geography and explore the impact of new methods in the Digital Humanities, including the impact of digital tools such as Geographic Information Systems (GIS).",None,None,Exploring History through Geography,6.0,History,"Owen, Abigail",Junior,79-394
1295,"This course introduces students to the diversity of Arab culture in the Middle East and North Africa through a variety of critically-acclaimed films and two novels. The course topics aim to challenge stereotypes and foster a better understanding of the social reality of Arab societies. The films and novels un-romanticize the portrayal of childhood and adulthood and offer insight into the hardships and concerns that face Arab youth. Topics covered are the role of religion vis--vis key social and family values in everyday life, childhood and education, masculinity, homo/sexuality, gender roles, challenges in conflict zones, and revolution music and art that emerged since the Arab uprising of 2011. Students will have the opportunity to engage in three video-conference dialogues with Saudi, Moroccan, and Egyptian students at universities in Saudi Arabia, Morocco, and Egypt, respectively, to allow for live interaction, exchange, and learning, as well as interview one or two Arabic-native speakers to further their learning. There will be one cooking workshop on Arab cuisine",None,None,Arabic Culture Through Film & Literature,9.0,History,"Abraham, Nevine",Senior,79-415
1296,"This course will explore the interrelations between society and classical and popular music in the nineteenth and twentieth centuries in Europe and the United States. We will examine the importance of different musical forms in the life of society and how music contributed to the making of political consciousness, especially in the twentieth century. In addition to reading assignments, seminar discussions, and research papers in the history of music, students will be taken to performances of the Pittsburgh Symphony, Pittsburgh Opera, and Chamber Music Pittsburgh. A supplemental fee of approximately 275 will be charged to subsidize part of the considerable expense of purchasing tickets for concerts and performances. Prerequisite: Availability to attend musical events on several Friday and Saturday evenings.",None,None,Music and Society in 19th and 20th Century Europe and the U.S.,9.0,History,"Kats, Naum",Junior,79-396
1297,"This course is ONLY offered at Carnegie Mellon in Qatar.  The term Islam suggests centuries of history that embody a creed and a civilization with unity and diversity in its rituals and politics. The Islamic world involves great questions that differentiate Muslims from one another. Examples include the Shia-Sunni schism or split that has divided Islamdom since the first decades after the death of the Prophet founder in 632; the tensions between unity and sectarianism that relentlessly explode in Muslim countries; the persisting questions of equality and inequality that pertain to gender and race. The works of such historians as Muhammad ibn Ishaq of Medina (704-769), who authored an early biography (Sirat Rasul Allah, Life of the Messenger of Allah), Muhammad ibn Saad of Basra (764-845), who was inspired by Ibn Ishaq, the historian Abu Jafar Muhammad ibn Jarir Al-Tabari (839-923), who authored the multi-volume Tarikh al-rasul wa al muluk (History of the Prophets and Kings),and the 14th-century eminent thinker, Abu Zayd Muhammad Ibn Khaldun, who wrote the Muqaddimah, an Introduction to History, and numerous contemporary scholars help to elucidate part of the problems. Exploring these texts improves the students grasp of history.  This course will be taught as a proseminar that aims at introducing the literature in the English translation and at raising questions.  It will broaden deepen the appreciation of history by undergraduate students. As a specialized offering reserved for students minoring in history or having successfully completed two courses in history or having the authorization of the instructor.",(76-101) and (79-104 or 79-209 or 79-210 or 79-216 or 79-279 or 79-284 or 79-285 or 79-294 or 79-307 or 79-361 or 79-378),None,Research on Great Islamic Issues According to the Early Sources,9.0,History,"Kaba, Lansine",Senior,79-411
